ALL STANDALONE,,,,,,,
(As on Date:  13-10-2025  0:55:24),,,,,,,
Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-25068,"SHUBH KANHA JI PHARMACY COLLEGE, JAUNPUR",Uttar Pradesh,Jaunpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-25391,SWAMI VIVEKANAND COLLEGE OF PHARAMCY,Uttar Pradesh,Mahoba,-,Urban,Technical/Polytechnic,Private Un-Aided
S-25083,SHRI RAM MURTI VERMA PHARAMACY COLLEGE CHANDPUR SADOPATTI PARGANA BARAUSA TEHSIL SADAR SULTANPUR,Uttar Pradesh,Sultanpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19075,GOVERNMENT POLYTECHNIC THAKURDWARA,Uttar Pradesh,Moradabad,-,Rural,Technical/Polytechnic,State Government
S-19076,I T M COLLEGE OF PHARMACY ALIGARH,Uttar Pradesh,Aligarh,2018,Rural,Technical/Polytechnic,Private Un-Aided
S-19077,Karmalal Bihari Digree College,Uttar Pradesh,Mau,2019,Rural,Technical/Polytechnic,Private Un-Aided
S-25069,"SHRI RAMDAS COLLEGE OF PHARMACY, JAUNPUR",Uttar Pradesh,Jaunpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-25075,ARCHANA PHARMACY COLLEGE,Uttar Pradesh,Ballia,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19078,Smt Satyawati Devi College Of Pharmacy,Uttar Pradesh,Ambedkar Nagar,2019,Rural,Technical/Polytechnic,Private Un-Aided
S-25041,RAJKUMAR SHIKSHAN PRASHIKSHAN SANSTHAN,Uttar Pradesh,Mirzapur,-,Rural,Teacher Training,Private Un-Aided
S-25042,"MATA RADHIKA DEVI BTC PRASHIKSHAN SANSTHAN, KAMHARIYA, MEHNAGAR, AZAMGARH",Uttar Pradesh,Azamgarh,-,Rural,Teacher Training,Private Un-Aided
S-19079,MAHAMAYA INSTITUTE OF INFORMATION TECHNOLOGY SHAMLI,Uttar Pradesh,Shamli,2017,Rural,Technical/Polytechnic,State Government
S-19080,SHRI JAY SINGH CHOTE SAHAB COLLEGE OF PHARMACY,Uttar Pradesh,Farrukhabad,2018,Rural,Technical/Polytechnic,Private Un-Aided
S-25055,"SANTOSH SINGH COLLEGE OF PHARMACY,FATEHPUR",Uttar Pradesh,Fatehpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-25027,"NIRDOSH DEVI PARAMEDICAL COLLEGE, MORADABAD",Uttar Pradesh,Moradabad,-,Rural,Paramedical,Private Un-Aided
S-19081,SHRI JAY SINGH PHARMACY COLLEGE,Uttar Pradesh,Farrukhabad,2018,Rural,Technical/Polytechnic,Private Un-Aided
S-25045,JIVIKA PARAMEDICAL AND NURSING COLLEGE,Uttar Pradesh,Hardoi,-,Rural,Paramedical,Private Un-Aided
S-25049,SWARGIYA FAUJDAR SINGH CHAUHAN SHIKSHAN AVAN PRASHIKSHAN SANSTHAN PHARMACY COLLEGE,Uttar Pradesh,Ghazipur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19082,Government Polytechnic Bighapur Unnao,Uttar Pradesh,Unnao,2016,Rural,Technical/Polytechnic,State Government
S-26313,SHRI H R S EDUCATIONAL INSTITUTE,Uttar Pradesh,Amroha,2024,Rural,Pharmacy Institutions,Private Un-Aided
S-25046,INDRAPRASTHA COLLEGE OF PHARMACY,Uttar Pradesh,Prayagraj,-,Rural,Technical/Polytechnic,Private Un-Aided
S-22909,VINOD KUMAR AYURVEDIC PHARMACY COLLEGE,Uttar Pradesh,Sultanpur,2019,Rural,Paramedical,Private Un-Aided
S-25457,RAMAPATI VAIDHYA SHIKSHA AVM PRASHIKSHAN SANSTHAN,Uttar Pradesh,Ghazipur,-,Rural,Teacher Training,Private Un-Aided
S-25458,ST MICHAELS SCHOOL,Uttar Pradesh,Ballia,-,Rural,Teacher Training,Private Un-Aided
S-19300,P S INSTITUTE OF PHARMACY,Uttar Pradesh,Kanpur Nagar,2019,Rural,Technical/Polytechnic,Private Un-Aided
S-26311,RANA INSTITUTE OF MEDICAL SCIENCES ,Uttar Pradesh,Kushinagar,2018,Urban,Pharmacy Institutions,Private Un-Aided
S-25053,"BHAGWAN ADARSH COLLEGE OF PHARMACY, AZAMGARH",Uttar Pradesh,Azamgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-26310,MOTHER TERESA INSTITUTE OF PARAMEDICAL SCIENCES,Uttar Pradesh,Rampur,2013,Rural,Nursing,Private Un-Aided
S-19301,JAGANNATH COLLEGE OF PHARMACY,Uttar Pradesh,Ghaziabad,2019,Rural,Technical/Polytechnic,Private Un-Aided
S-25459,KANISHKA EDUCATIONAL INSTITUTE AND MANAGEMENT,Uttar Pradesh,Mathura,-,Rural,Teacher Training,Private Un-Aided
S-19303,GAYATRI EDUCATIONAL INSTITUTE,Uttar Pradesh,Mathura,-,Rural,Teacher Training,Private Un-Aided
S-18245,PREM RAGHU INSTITUTE OF PHARMACY,Uttar Pradesh,Hathras,2017,Rural,Technical/Polytechnic,Private Un-Aided
S-19382,SHRI BABU SINGH JAY SINGH HOMEOPATHIC PHARMACY COLLEGE,Uttar Pradesh,Farrukhabad,2018,Rural,Paramedical,Private Un-Aided
S-25052,AUXILLIUM COLLEGE OF PHARMACY,Uttar Pradesh,Bara Banki,-,Rural,Technical/Polytechnic,Private Un-Aided
S-23325,"RAM TEJ BHAGAUTI PRASAD COLLEGE OF PHARMACY, BAHRAICH",Uttar Pradesh,Bahraich,2023,Rural,Technical/Polytechnic,Private Un-Aided
S-23330,"GURUKUL COLLEGE OF PHARMACY, GHAZIPUR",Uttar Pradesh,Ghazipur,2023,Rural,Technical/Polytechnic,Private Un-Aided
S-25012,T M BTC COLLEGE KARMAHIYA RUDHAULI BASTI,Uttar Pradesh,Basti,-,Rural,Teacher Training,Private Un-Aided
S-19304,CH Sughar Singh College of Pharmacy,Uttar Pradesh,Etawah,2019,Urban,Technical/Polytechnic,Private Un-Aided
S-25039,"SURYA SHIKSHAN PRASHIKSHAN SANSTHAN NAGRA BADLI, THARUAPUR, BASTI, U P",Uttar Pradesh,Basti,-,Rural,Teacher Training,Private Un-Aided
S-25037,"SMT SHYAMA DEVI HARSH MAHAVIDYALAY BHAVANIGARH RAICHA, SULTANPUR",Uttar Pradesh,Sultanpur,-,Rural,Teacher Training,Private Un-Aided
S-25018,SHRI B D R GARG EDUCATIONAL INSTITUTE AJHAI KALAN MATHURA,Uttar Pradesh,Mathura,-,Rural,Teacher Training,Private Un-Aided
S-19305,Government Polytechnic Sahaswan Budaun,Uttar Pradesh,Budaun,-,Rural,Technical/Polytechnic,State Government
S-25024,SHREE JAGJEET SHARMA SUMANLATA OM CITY CONVENT BALIKA DEGREE COLLEGE KHURJA,Uttar Pradesh,Bulandshahr,-,Rural,Teacher Training,Private Un-Aided
S-19394,AMAR SHAHID KANCHAN SINGH MAHAVIDYALAYA FACULTY OF PHARMACY,Uttar Pradesh,Fatehpur,2019,Rural,Technical/Polytechnic,Private Un-Aided
S-19395,DR BPS COLLEGE OF EDUCATION,Uttar Pradesh,Agra,2012,Rural,Teacher Training,Private Un-Aided
S-25015,SHIVLOK SHRINET SHIKSHAN PRASHIKSHAN MAHAVIDYALAYA,Uttar Pradesh,Mirzapur,-,Rural,Teacher Training,Private Un-Aided
S-19306,"SANT RAVIDAS GOVERNMENT POLYTECHNIC, CHAKIYA CHANDAULI",Uttar Pradesh,Chandauli,2017,Rural,Technical/Polytechnic,State Government
S-19397,SHANTI COLLEGE,Uttar Pradesh,Agra,2013,Rural,Teacher Training,Private Un-Aided
S-19398,shri Sant giri educational institute rali chauhan,Uttar Pradesh,Meerut,-,Rural,Teacher Training,State Government
S-25219,SADBHAWANA VIDYAPEETH SHIKSHA SAMITI,Uttar Pradesh,Azamgarh,-,Rural,Teacher Training,Private Un-Aided
S-19308,"Government Polytechnic, Kutana, Baraut",Uttar Pradesh,Baghpat,2018,Rural,Technical/Polytechnic,State Government
S-19309,"Government Polytechnic, Shamsabad,  Agra",Uttar Pradesh,Agra,2019,Rural,Technical/Polytechnic,State Government
S-3247,"GOVERNMENT GIRLS POLYTECHNIC, SHAMLI",Uttar Pradesh,Shamli,1989,Rural,Technical/Polytechnic,State Government
S-24858,"SSG HEALTH WORKER FEMALE TRAINING CENTRE, AGRA",Uttar Pradesh,Agra,-,Urban,Nursing,Private Un-Aided
S-19310,PATEL PANCHAYATI COLLEGE OF PHARMACY BARABANKI,Uttar Pradesh,Bara Banki,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24853,MAJOR S D SINGH NURSING AND PARAMEDICAL COLLEGE MOHAMMDABAD FARRUKHABAD,Uttar Pradesh,Farrukhabad,-,Rural,Nursing,Private Un-Aided
S-24863,A N G IDEAL AYURVEDIC PHARMACY AND NURSING COLLEGE SARAITAKKI BABATPUR VARANASI,Uttar Pradesh,Varanasi,-,Rural,Paramedical,Private Un-Aided
S-19311,MAA BHAGWATI SARVODAYA SANSTHAN,Uttar Pradesh,Lucknow,2013,Rural,Teacher Training,Private Un-Aided
S-5472,SANTUSHTI INSTITUTE OF NURSING & PARAMEDICAL SCIENCES NEWADA SUNDERPUR VARANASI,Uttar Pradesh,Varanasi,-,-,Nursing,Private Un-Aided
S-24856,"MAA BUDDHA NATIONAL MAHAVIDYALAY SAMITI, MUNIYA MAKADUMPUR, JAGDISHPUR NIZAMABAD, AZAMGARH",Uttar Pradesh,Azamgarh,-,Rural,Teacher Training,Private Un-Aided
S-19312,B R COLLEGE OF PHARMACY,Uttar Pradesh,Farrukhabad,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24797,VIMLA VIKRAM DEGREE MAHAVIDYALAYA COLLEGE,Uttar Pradesh,Balrampur,-,Urban,Technical/Polytechnic,Private Un-Aided
S-24804,VAISHNAVI COLLEGE OF PHARMACY BAHADURPUR MAINPURI,Uttar Pradesh,Mainpuri,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19313,"SHARADANAND ANCHAL TECHNICAL INSTITUTE, BALLIA",Uttar Pradesh,Ballia,-,Rural,Technical/Polytechnic,Local Body
S-24850,SWAMI VIVEKANAND INSTITUTE OF MEDICAL SCIENCE,Uttar Pradesh,Basti,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24783,SMT CHAMPA DEVI SHIKSHA PRAKSHISHAN COLLEGE,Uttar Pradesh,Gorakhpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19314,VIMLA FAMILY PHARMACY COLLEGE,Uttar Pradesh,Kanpur Nagar,2019,Rural,Technical/Polytechnic,Private Un-Aided
S-24817,SHRI SHAKTIMAYI HOMEOPATHAITH PHARMECY COLLEGE KHARAGPUR AZAMGARH,Uttar Pradesh,Azamgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24785,"SHRI RAJESH KUMAR THATHERA PHARMACY COLLEGE, AZAMGARH",Uttar Pradesh,Azamgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19315,CHANDRA KAMAL PHARMACY MAHAVIDALAYA,Uttar Pradesh,Mainpuri,2019,Rural,Technical/Polytechnic,Private Aided (Government Aided)
S-19412,VIKAS INSTITUTE OF ENGINEERING AND TECHNOLOGY,Uttar Pradesh,Gorakhpur,2012,Rural,Technical/Polytechnic,Private Un-Aided
S-3210,GOVERNMENT POLYTECHNIC BAREILLY,Uttar Pradesh,Bareilly,1958,Urban,Technical/Polytechnic,State Government
S-19316,KANNAUJ COLLEGE OF PHARMACY,Uttar Pradesh,Kannauj,-,Rural,Technical/Polytechnic,Private Un-Aided
S-26322,R. B. S. PARA MEDICAL COLLEGE RAKSHA JHANSI,Uttar Pradesh,Jhansi,2019,Rural,Paramedical,Private Un-Aided
S-24784,"SHRI DURGAJI COLLEGE OF PHARMACY, AZAMGARH",Uttar Pradesh,Azamgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24800,SHOBHAWATI COLLEGE OF PHARMACY DERAMUSI AYODHYA,Uttar Pradesh,Ayodhya,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19317,SHRI VIRENDRA SINGH KATIYAR INSTITUTE OF PHARMACY,Uttar Pradesh,Farrukhabad,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24796,SHAHBAAN MEMORIAL AYURVEDIC PHARMACY ANDGNM COLLEGE SARAI CHAWAT NAGRA BALLIA,Uttar Pradesh,Ballia,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24833,SAROJANI KAMLA DEVI AYURVEDIC PARAMEDICAL NURSING AND PHARMACY COLLEGE AGRA ROAD ETAH,Uttar Pradesh,Etah,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24818,RGNP COLLEGE OF PHARMACY RAJA KA TAJPUR NOORPUR BIJNOR,Uttar Pradesh,Bijnor,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19318,SHARDA NARAYAN INSTITUTE OF NURSING  AND PARAMEDICAL SCIENCES MAU,Uttar Pradesh,Mau,2018,Rural,Nursing,Private Un-Aided
S-26320,JAGANNATH AYURVEDIC COLLEGE OF PHARMACY,Uttar Pradesh,Hathras,2019,Rural,Paramedical,Private Un-Aided
S-24816,RANI CHANDRA PRABHA PHARMACY COLLEGE KHAGA FATEHPUR,Uttar Pradesh,Fatehpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19319,KRISHNA INSTITUTE OF EDUCATION AND TECHNOLOGY  KHATAULI ROAD BEHSUMA MEERUT,Uttar Pradesh,Meerut,2012,Rural,Teacher Training,Private Un-Aided
S-24842,"RAM SINGH PHARMACY COLLEGE, MAINPURI",Uttar Pradesh,Mainpuri,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24821,RAMDEV COLLEGE OF PHARMACY AYODHYA,Uttar Pradesh,Ayodhya,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19320,Shri Satya Sai Institute of Pharmaceutical Science and Research,Uttar Pradesh,Jalaun,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24820,RAMBACHAN YADAV MAHVIDHYALAY PHARMECY,Uttar Pradesh,Azamgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19322,DEV INDRAWATI COLLEGE OF PHARMACY ARKHAPUR,Uttar Pradesh,Ambedkar Nagar,2019,Rural,Technical/Polytechnic,Local Body
S-24801,PRIYANKA COLLEGE OF PHARMACY ANJANI MAINPURI,Uttar Pradesh,Mainpuri,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24843,"PREMA DEVI PHARMACY OLLAGE, MAINPURI",Uttar Pradesh,Mainpuri,-,Rural,Technical/Polytechnic,Private Un-Aided
S-22910,SAI HOMOEOPATHIC PARAMEDICAL COLLEGE,Uttar Pradesh,Varanasi,2016,Rural,Paramedical,Private Un-Aided
S-19325,RajaRam Verma Shikshan Sansthan Jiyapur Baruwa Jalanki Tanda Ambedkar Nagar,Uttar Pradesh,Ambedkar Nagar,2015,Rural,Teacher Training,Private Un-Aided
S-24814,OM SAI AYURVEDIC COLLEGE  SAHARANPUR,Uttar Pradesh,Saharanpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24845,MAWANA COLLEGE OF PHARMACY,Uttar Pradesh,Meerut,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19327,Krishak Collage Of Pharmacy,Uttar Pradesh,Mirzapur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24802,MAHARSHI YOGIRAJ DEVRAHA BABA MAHAVIDYALAY AMBEDKARNAGAR,Uttar Pradesh,Ambedkar Nagar,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24825,KAULESHWAR SURYAMATI INSTITUTE OF HOMOEOPATHIC PHARMACY M G AMBEDKAR NAGAR,Uttar Pradesh,Ambedkar Nagar,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24791,J P HOMOEO PHARMACY COLLEGE,Uttar Pradesh,Lucknow,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24835,J K INSTITUTE OF PHARMACY AGWALRAILWAY CROSSING KHURJA DISTT BULANDSHAHR,Uttar Pradesh,Bulandshahr,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24798,AAPRUP COLLEGE OF PHARMACY KUSAHA PARGANA NARWAN CHANDAULI,Uttar Pradesh,Chandauli,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19364,VINAYAKA INSTITUTE OF PHARMACEUTICAL SCIENCE,Uttar Pradesh,Lucknow,-,Urban,Paramedical,Private Un-Aided
S-24789,G B S COLLEGE OF PHARMACY JAISINGHMAU TARUN AYODHYA,Uttar Pradesh,Ayodhya,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19500,"KS MEMORIAL COLLEGE FOR RESEARCH AND REHABILITATION, LUCKNOW",Uttar Pradesh,Lucknow,-,Rural,Teacher Training,Private Un-Aided
S-19492,"KS MEMORIAL COLLEGE FOR RESEARCH AND REHABILITATION, RAE BARELI",Uttar Pradesh,Rae Bareli,-,Rural,Teacher Training,Private Un-Aided
S-25460,GRAMODDHAR SIKSHAN PRASHIKSHAN MAHAVIDYALAYA,Uttar Pradesh,Aligarh,-,Rural,Teacher Training,Private Un-Aided
S-24807,DR BASUDEO YADAV HOMOEPATHIC PHARMACY COLLEGE NARANGPUR PATTI PRATAPGARH,Uttar Pradesh,Pratapgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19503,QADAR AHMAD KHAN COLLEGE OF PHARMACY,Uttar Pradesh,Lucknow,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24810,"BABU BASANT LAL COLLEGE OF PHARMACY,PRAYAGRAJ",Uttar Pradesh,Prayagraj,-,Rural,Technical/Polytechnic,Private Un-Aided
S-3209,GOVERNMENT POLYTECHNIC BARABANKI,Uttar Pradesh,Bara Banki,1983,Rural,Technical/Polytechnic,State Government
S-19504,BABA RAMDAL SURAJDEV PHARMACY COLLEGE PATNA RASRA BALLIA,Uttar Pradesh,Ballia,2019,Rural,Technical/Polytechnic,Private Un-Aided
S-19505,SHRI NATH BABA COLLEGE OF PHARMACY,Uttar Pradesh,Ballia,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19506,GOVERNMENT POLYTECHNIC MOHAMMAD PUR GITI CAMPUS BAHRAICH,Uttar Pradesh,Bahraich,2013,Rural,Technical/Polytechnic,State Government
S-19508,LUTAWAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Uttar Pradesh,Ghazipur,2019,Rural,Technical/Polytechnic,Private Un-Aided
S-19510,GOVERNMENT POLYTECHNIC KISHNI MAINPURI,Uttar Pradesh,Mainpuri,2019,Rural,Technical/Polytechnic,State Government
S-19511,MAA BHAGWATA KUNWAR INSTITUTE OF POLYTECHNIC MAU,Uttar Pradesh,Mau,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24803,ARCHIT UTKARSH COLLEGE OF PHARMACY ROOPPUR BHARATPUR MAINPURI,Uttar Pradesh,Mainpuri,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24786,A P COLLEGE OF PHARMACY,Uttar Pradesh,Bulandshahr,-,Rural,Technical/Polytechnic,Private Un-Aided
S-26303,"SANKALP, BARAHPUR, NANDGANJ, GHAZIPUR",Uttar Pradesh,Ghazipur,2016,Rural,Institutions under Rehabilitation Council of India,Private Un-Aided
S-24781,ANJANA COLLEGE OF PHARMACY,Uttar Pradesh,Pratapgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24787,AJAY PAL COLLEGE OF PHARMACY,Uttar Pradesh,Bulandshahr,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19522,DR BR AMBEDKAR NURSING AND PHARMACY COLLEGE BIJNOUR LUCKNOW,Uttar Pradesh,Lucknow,-,Urban,Paramedical,Private Un-Aided
S-24855,AAMOLYA COLLEGE OF PHARMACY AZAMGARH,Uttar Pradesh,Azamgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24849,KRISHAK MAHAVIDYALAY UKRAW BAHARIYABAD GHAZIPUR,Uttar Pradesh,Ghazipur,-,Rural,Teacher Training,Private Un-Aided
S-24826,SHRI MANNULAL SANSKRIT MAHAVIDYALAYA ATARRA,Uttar Pradesh,Banda,-,Urban,Teacher Training,Private Un-Aided
S-24827,RANGJI YADAV COLLEGE OF TEACHER EDUCATION,Uttar Pradesh,Ghazipur,-,Rural,Teacher Training,Private Un-Aided
S-24847,HARINANDAN JILA SIKSHA AND PRASHIKSHAN SANSTHAN SARAI RASOOLPUR HATWAPAR CHANDAULI,Uttar Pradesh,Chandauli,-,Rural,Teacher Training,Private Un-Aided
S-24846,D C S INTERNATIONAL INTER COLLEGE,Uttar Pradesh,Mathura,-,Rural,Teacher Training,Private Un-Aided
S-24900,S D S COLLEGE OF PHARMACY MARTHARA ETAH,Uttar Pradesh,Etah,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24896,PARSHURAM VERMA MEMORIAL COLLEGE OF PHARMACY,Uttar Pradesh,Ayodhya,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24901,"DR KASHINATH COLLEGE OF PHARMACY, GHAZIPUR",Uttar Pradesh,Ghazipur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24831,"BABU BAIJNATH SINGH PHARMACY AND NURSING COLLEG, DEORIA",Uttar Pradesh,Deoria,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24864,ZENESIS INTERNATIONAL SCHOOL NANDAPAR GORAKHPUR,Uttar Pradesh,Gorakhpur,-,Rural,Teacher Training,Private Un-Aided
S-24869,VINDHYACHAL DRAUPADI DEVI SEWA SAMITI,Uttar Pradesh,Gorakhpur,-,Urban,Teacher Training,Private Un-Aided
S-25461,RUMA BTC COLLEGE,Uttar Pradesh,Pratapgarh,-,Rural,Teacher Training,Private Un-Aided
S-24867,SUSHILA YADAV SHIKSHA SANSTHAN FATEHPUR CHARI BHITARI GHAZIPUR,Uttar Pradesh,Ghazipur,-,Rural,Teacher Training,Private Un-Aided
S-24834,UMALOK CHARITABLE TRUST,Uttar Pradesh,Meerut,-,Rural,Paramedical,Private Un-Aided
S-24813,R K INSTITUTE OF PARAMEDICAL SCIENCES,Uttar Pradesh,Prayagraj,-,Urban,Paramedical,Private Un-Aided
S-24830,RACHIT HOSPITAL,Uttar Pradesh,Gorakhpur,-,Urban,Paramedical,Private Un-Aided
S-24822,IIMT COLLEGE OF PARAMEDICAL EDUCATION,Uttar Pradesh,Agra,-,Urban,Paramedical,Private Un-Aided
S-24868,RSVS EDUCATIONAL TRAINING INSTITUTE CHITARI SAGRA LALGANJ PRATAPGARH,Uttar Pradesh,Pratapgarh,-,Rural,Teacher Training,Private Un-Aided
S-24793,"RAJKISHOR SINGH MAHAVIDYALAY PHARMACY, GHAZIPUR",Uttar Pradesh,Ghazipur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24823,"DIPANJALI PHARMACY COLLEGE, PRAYAGRAJ",Uttar Pradesh,Prayagraj,-,Rural,Technical/Polytechnic,Private Un-Aided
S-25462,SWAMINATH MAHAVIDYALAY D PHARM,Uttar Pradesh,Ballia,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24819,ANAND INSTITIUTE OF PARAMEDICAL SCIENCES,Uttar Pradesh,Meerut,-,Urban,Paramedical,Private Un-Aided
S-24844,BRIJBHUSHAN SINGH PHARMACY COLLEGE KISHNI ROAD,Uttar Pradesh,Etawah,-,Rural,Technical/Polytechnic,Private Un-Aided
S-25464,VNS COLLEGE OF PHARMACY THAURI AMETHI,Uttar Pradesh,Amethi,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19588,GOVERNMENT POLYTECHNIC KATAI JOYA AMROHA,Uttar Pradesh,Amroha,2019,Rural,Technical/Polytechnic,State Government
S-24841,"BRAJBHUSHAN SINGH COLLEGE OF PHARMACY, MAINPURI",Uttar Pradesh,Mainpuri,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24815,B D M INTERNATIONAL PHARMACY SCHOOL,Uttar Pradesh,Sultanpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24832,BADULI PHARMACY COLLEGE,Uttar Pradesh,Saharanpur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24837,"PASHUPATINATH SMARAK MAHAVIDYALAY BTC, SHERPUR KALAN, GHAZIPUR",Uttar Pradesh,Ghazipur,-,Rural,Teacher Training,Private Un-Aided
S-24897,"BAJRANG COLLEGE OF EDUCATION PHARMACY COLLEGE, AZAMGARH",Uttar Pradesh,Azamgarh,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24840,DAYAWATI COLLEGE OF EDUCATION,Uttar Pradesh,Meerut,-,Rural,Teacher Training,Private Un-Aided
S-24838,GAJRAULA COLLEGE OF PHARMACY AND RESEARCH CENTRE,Uttar Pradesh,Amroha,-,Rural,Technical/Polytechnic,Private Un-Aided
S-16977,Maharshi Moolchand Yadav Nursing And Paramedical College Nadauli Kerakat Jaunpur,Uttar Pradesh,Jaunpur,2017,Rural,Nursing,Private Un-Aided
S-24811,LASANTE AYURVEDIC COLLEGE,Uttar Pradesh,Lucknow,-,Urban,Technical/Polytechnic,Private Un-Aided
S-22911,BHARAT EDUCATIONAL INSTITUTE PHARMACY,Uttar Pradesh,Muzaffarnagar,2023,Rural,Paramedical,Private Un-Aided
S-24794,LAVANYA AYURVEDIC COLLEGE OF NURSING DEWA ROAD LUCKNOW,Uttar Pradesh,Lucknow,-,Urban,Nursing,Local Body
S-24720,"ARJUN YADAV GIRLS COLLEGE OF PHARMACY, GHAZIPUR",Uttar Pradesh,Ghazipur,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24735,B S COLLEGE OF PHARMACY,Uttar Pradesh,Ghazipur,-,Urban,Technical/Polytechnic,Private Un-Aided
S-24732,BBS COLLEGE OF PHARMACY AND POLYTECHNIC PRAYAGRAJ,Uttar Pradesh,Prayagraj,-,Urban,Technical/Polytechnic,Private Un-Aided
S-25467,HANUMANT PAL COLLEGE OF PHARMACY,Uttar Pradesh,Kaushambi,-,Rural,Technical/Polytechnic,Private Un-Aided
S-24721,APS COLLEGE OF PHARMACY CHAKARASENPUR AMBEDKAR NAGAR,Uttar Pradesh,Ambedkar Nagar,-,Rural,Technical/Polytechnic,Private Un-Aided
S-19659,BHAGWATI INSTITUTE OF PROFESSIONAL STUDIES,Uttar Pradesh,Ghaziabad,2020,Urban,PGDM Institutes,Private Un-Aided
S-24723,J P PHARMACY COLLEGE,Uttar Pradesh,Jaunpur,-,Rural,Paramedical,Private Un-Aided
S-19662,MAHARSHI DAYANAND REHABILITATION INSTITUTE,Uttar Pradesh,Aligarh,-,Rural,Teacher Training,Private Un-Aided
S-25469,SETH PREM CHANDRA OM SHREE GUPTA EDUCATION AGSAULI SIKANDRA RAO HATHRAS,Uttar Pradesh,Hathras,-,Rural,Teacher Training,Private Un-Aided
S-18243,mitit,Uttar Pradesh,Meerut,2018,Urban,Technical/Polytechnic,Private Un-Aided
S-23001,"HEALTH WORKER FEMALE TRAINING CENTRE, FATEHGARH, FARRUKHABAD",Uttar Pradesh,Farrukhabad,2022,Urban,Nursing,State Government
S-18233,SIGNA COLLEGE OF PHARMACY,Uttar Pradesh,Kanpur Nagar,-,Urban,Technical/Polytechnic,Private Un-Aided
S-26369,LALITPUR EDUCATION INSTITUTE INDRANAGAR ORAI JALAUN,Uttar Pradesh,Jalaun,2019,Rural,Paramedical,Private Un-Aided
S-18244,CHHATRAPATI SHAHUJI MAHARAJ  GOVERNMENT POLYTECHNIC UTRAULA  BALRAMPUR,Uttar Pradesh,Balrampur,2010,Rural,Technical/Polytechnic,State Government
S-26269,SHUBHASHEESH SHIKSHA EVAM VIKAS SEWA SANSTHAN,Uttar Pradesh,Rae Bareli,2013,Urban,Institutions under Rehabilitation Council of India,Private Un-Aided
